Substructure	SMARTS	Index	Acid_or_base
Sulfate monoether	[SX4:0](=[O:1])(=[O:2])(-[O:3])-[OX2:4]-[H:5]	4	A
Sulfate monoether	[SX4:0](=[O:1])(=[O:2])(-[O:3])-[O-1:4]	4	B
Sulfonic acid	[SX4:0](=[O:1])(=[O:2])(-[#6,#7:3])-[OX2:4]-[H:5]	4	A
Sulfonic acid	[SX4:0](=[O:1])(=[O:2])(-[#6,#7:3])-[O-1:4]	4	B
Sulfinic acid	[SX3:0](=[O:1])(-[#6,#7:2])-[OX2:3]-[H:4]	3	A
Sulfinic acid	[SX3:0](=[O:1])(-[0#6,#7:2])-[O-1:3]	3	B
Seleninic acid	[SeX3:0](=[O:1])(-[#6,#7:2])-[OX2:3]-[H:4]	3	A
Seleninic acid	[SeX3:0](=[O:1])(-[#6,#7:2])-[O-1:3]	3	B
Selenenic acid	[SeX2:0]-[OX2:1]-[H:2]	1	A
Selenenic acid	[SeX2:0]-[O-1:1]	1	B
Arsonic acid	[AsX4:0](=[O:1])(-[#6,#7:2])-[OX2:3]-[H:4]	3	A
Arsonic acid	[AsX4:0](=[O:1])(-[#6,#7:2])-[O-1:3]	3	B
Thiosulfuric acid	[S:0]~[SX4:1](~[O:2])(~[O:3])-[O:4]-[H:5]	4	A
Thiosulfuric acid	[S:0]~[SX4:1](~[O:2])(~[O:3])-[O-1:4]	4	B
Phosph(o/i)nic acid	[PX4:0](=[O:1])(-[OX2:2]-[H:5])(-[#1,#6,#7,#8:3])(-[#1,#6,#7,#8:4])	2	A
Phosph(o/i)nic acid	[PX4:0](=[O:1])(-[O-1:2])(-[#1,#6,#7,#8:3])(-[#1,#6,#7,#8:4])	2	B
Phosphate (mono/di)ether	[PX4:0](=[O:1])(-[O:2])(-[O:3])-[OX2:4]-[H:5]	4	A
Phosphate (mono/di)ether	[PX4:0](=[O:1])(-[O:2])(-[O:3])-[O-1:4]	4	B
Carboxyl acid	[$([#6]=[#8,#7]),$(C#N):0]-[OX2:1]-[H:2]	1	A
Carboxyl acid	[$([#6]=[#8,#7]),$(C#N):0]-[O-1:1]	1	B
Carboxyl acid enol	[C:0]=[C:1](-[OX2:2]-[H:3])-[OX2:4]-[H:5]	4	A
Carboxyl acid enol	[C:0]=[C:1](-[OX2:2]-[H:3])-[O-1:4]	4	B
Carbo(di)thioic acid	[CX3:0](=[O,S:1])-[SX2,OX2:2]-[H:3]	2	A
Carbo(di)thioic acid	[CX3:0](=[O,S:1])-[S-1,O-1:2]	2	B
Carboxyl acid vinylogue 	[O:0]=[C:1]-[C:2]=[C:3]-[OX2:4]-[H:5]	4	A
Carboxyl acid vinylogue	[O:0]=[C:1]-[C:2]=[C:3]-[O-1:4]	4	B
Thiol/Thiophenol	[#6,#7:0]-[SX2:1]-[H:2]	1	A
Thiol/Thiophenol	[#6,#7:0]-[S-1:1]	1	B
Phenol	[c,n:0]-[OX2:1]-[H:2]	1	A
Phenol	[c,n:0]-[O-1:1]	1	B
Alcohol	[$([CX4]-[$([#6]=,:[#7,#8]),$([#6]=,:[#6]-,:[#6]=,:[#7,#8]),$(C#N),O,#7+1,$(C-Cl),$(C#C),$(C-O),S:0]),$([CH2]-[#1,CH3]):0]-[OX2:1]-[H:2]	1	A
Alcohol	[$([CX4]-[$([#6]=,:[#7,#8]),$([#6]=,:[#6]-,:[#6]=,:[#7,#8]),$(C#N),O,#7+1,$(C-Cl),$(C#C),$(C-O),S:0]),$([CH2]-[#1,CH3]):0]-[O-1:1]	1	B
Hydroxypyridine	[n:0]:[c:1]-[OH2+1:2]-[H:3]	2	A
Hydroxypyridine	[n:0]:[c:1]-[OX2H1:2]	2	B
Methylpyridine	[n:0](-[C:1]=[O:2]):[c:3]:[c:4]:[c:5]-[CX4:6]-[H:7]	6	A
Methylpyridine	[n:0](-[C:1]=[O:2]):[c:3]:[c:4]:[c:5]-[CX3-1:6]	6	B
Hydroperoxide/Hydroxyl amine	[O,N:0]-[OX2:1]-[H:2]	1	A
Hydroperoxide/Hydroxyl amine	[O,N:0]-[O-1:1]	1	B
Azole	[#7:0]1(-[H:5])-,:[#7,#6:1]=,:[#7,#6:2]-,:[#7,#6:3]=,:[#7,#6:4]-,:1	0	A
Azole	[#7-1:0]1-,:[#7,#6:1]=,:[#7,#6:2]-,:[#7,#6:3]=,:[#7,#6:4]-,:1	0	B
Aza-aromatics	[n:0]-[H:1]	0	A
Aza-aromatics	[n-1,n+0X2:0]	0	B
N-substitute aza-aromatics	[n+1:0]-[CX4:1]-[H:2]	1	A
N-substitute aza-aromatics	[n+1:0]-[CX3-1:1]	1	B
Oxime	[$([#7]:,=[#6,#7]),$([#7]:,=[#6,#7]:,-[#6,#7]:,=[#6,#7]):0]-[OX2,NX3:1]-[H:2]	1	A
Oxime	[$([#7]:,=[#6,#7]),$([#7]:,=[#6,#7]:,-[#6,#7]:,=[#6,#7]):0]-[O-1,NX2-1:1]	1	B
Amine	[NX4+1:0](-[H:4])(-[CX4,c,#7,#8,#1,S,$(C=C),Cl:1])(-[CX4,c,#7,#8,#1,S,$(C=C):2])(-[CX4,c,#7,#8,#1,S,$(C=C):3])	0	A
Amine	[NX3:0](-[CX4,c,#7,#8,#1,S,$(C=C),Cl:1])(-[CX4,c,#7,#8,#1,S,$(C=C):2])(-[CX4,c,#7,#8,#1,S,$(C=C):3])	0	B
Imine	[#6,#7,P,S:0]=[NX3+1:1](-[H:2])	1	A
Imine	[#6,#7,P,S:0]=[NX2:1]	1	B
Amide	[$([#6]=,:[O,S,#7:0]),$([#7]=[#7,#8]),$([#6]:,=[#6]:,-[#7]=[#7,#8]),$(c:c:c:c:[#7+1]):0]-[NX3:1]-[H:2]	1	A
Amide	[$([#6]=,:[O,S,#7:0]),$([#7]=[#7,#8]),$([#6]:,=[#6]:,-[#7]=[#7,#8]),$(c:c:c:c:[#7+1]):0]-[NX2-1:1]	1	B
Amide imine	[$([#6]-,:[O,S,#7]),N+1:0]=,:[NX2:1]-[H:2]	1	A
Amide imine	[$([#6]-,:[O,S,#7]),N+1:0]=,:[NX1-1:1]	1	B
Sulfamide	[SX4:0](=[O:1])(=[O:2])-[NX3:3]-[H:4]	3	A
Sulfamide	[SX4:0](=[O:1])(=[O:2])-[NX2-1:3]	3	B
Phosphamide	[PX4:0](=[O:1])-[NX3:2]-[H:3]	2	A
Phosphamide	[PX4:0](=[O:1])-[NX2-1:2]	2	B
Amide vinylogue	[NX3:0](-[H:5])-,:[#6:1]=,:[#6:2]-,:[$([#6]=,:[#7,#8]),$(C#N):3]	0	A
Amide vinylogue	[NX2-1:0]-,:[#6:1]=,:[#6:2]-,:[$([#6]=,:[#7,#8]),$(C#N):3]	0	B
Di Carbonyl βH	[$([#6,#7]=,:[#7,#8]),$(C#N),$([#6]=,:[#6]-,:[$([#6]=,:[#7,#8]),$(C#N)]),$(P=O),$(S=O),S+1,Cl,F,O,c:0]-,:[#6X4:1](-[H:3])-,:[$([#6]=,:[#7,#8]),$(C#N),$(P=O),$(S=O):2]	1	A
Di Carbonyl βH	[$([#6,#7]=,:[#7,#8]),$(C#N),$([#6]=,:[#6]-,:[$([#6]=,:[#7,#8]),$(C#N)]),$(P=O),$(S=O),S+1,Cl,F,O,c:0]-,:[#6X3-1:1]-,:[$([#6]=,:[#7,#8]),$(C#N),$(P=O),$(S=O):2]	1	B
Carbonyl βH	[$([#6](=O)(-,:[#7+1,#6,#1])(-,:[#6,#1])),$([N](=O)(-O)),$(P=O),$(C=C-C(=O)-[#6,#1]):0]-,:[#6X4:1]-[H:2]	1	A
Carbonyl βH	[$([#6](=O)(-,:[#7+1,#6,#1])(-,:[#6,#1])),$([N](=O)(-O)),$(P=O),$(C=C-C(=O)-[#6,#1]):0]-,:[#6X3-1:1]	1	B
Carbonyl allene	[O:0]=[C:1]-[C:2]=[C:3]=[CX3:4]-[H:5]	4	A
Carbonyl allene	[O:0]=[C:1]-[C:2]=[C:3]=[CX2-1:4]	4	B
Enol	[$([#6]=,:[#7,#8]),$(C#N),#7+1,$([S]=[O]),c,$(C=C),OH1:0]-[#6:1]:,=[#6:2]-[OX2:3]-[H:4]	3	A
Enol	[$([#6]=,:[#7,#8]),$(C#N),#7+1,$([S]=[O]),c,$(C=C),OH1:0]-[#6:1]:,=[#6:2]-[O-1:3]	3	B
Enol	[#6:0]=[#6:1](-[$(C=O),$(C(=C)-[OH1]):2])-[OX2:3]-[H:4]	3	A
Enol	[#6:0]=[#6:1](-[$(C=O),$(C(=C)-[OH1]):2])-[O-1:3]	3	B
Acyl group	[#6:0](-[O,N:1])=[OX2+1:2]-[H:3]	2	A
Acyl group	[#6:0](-[O,N:1])=[OX1:2]	2	B
Sulfoxide	[S+1:0](-[OX2:1]-[H:4])(-[#6:2])(-[#6:3])	1	A
Sulfoxide	[S+1:0](-[O-1:1])(-[#6:2])(-[#6:3])	1	B
Sulfoxide	[S:0](=[OX2+1:1]-[H:4])(-[#6:2])(-[#6:3])	1	A
Sulfoxide	[S:0](=[OX1:1])(-[#6:2])(-[#6:3])	1	B
Sulfoxide	[S:0](=[OX2+1:1]-[H:3])(=[#6:2])	1	A
Sulfoxide	[S:0](=[OX1:1])(=[#6:2])	1	B
Hydrocyanic acid	[N:0]#[C:1]-[H:2]	1	A
Hydrocyanic acid	[N:0]#[C-1:1]	1	B
Phosphoryl group	[PX4:0]=[OX2+1:1]-[H:3]	1	A
Phosphoryl group	[PX4:0]=[OX1:1]	1	B
Selenonyl group	[Se:0]=[OX2+1:1]-[H:3]	1	A
Selenonyl group	[Se:0]=[OX1:1]	1	B
Arsenyl group	[AsX4:0]=[OX2+1:1]-[H:2]	1	A
Arsenyl group	[AsX4:0]=[OX1:1]	1	B
Carboxyl group	[#6X3:0](:,-[O,#7,S:1])=[OX2+1,SX2+1:2]-[H:3]	2	A
Carboxyl group	[#6X3:0](:,-[O,#7,S:1])=[OX1,SX1:2]	2	B
Carboxyl group vinylogue	[#6X3:0](:,-[#6:1]:,=[#6:2]:,-[O,#7,S:3])=[OX2+1,SX2+1:4]-[H:5]	4	A
Carboxyl group vinylogue	[#6X3:0](:,-[#6:1]:,=[#6:2]:,-[O,#7,S:3])=[OX1,SX1:4]	4	B
Carbonyl group	[#6X3:0](:,-[#1,#6:1])(:,-[#1,#6:2])=[OX2+1:3]-[H:4]	3	A
Carbonyl group	[#6X3:0](:,-[#1,#6:1])(:,-[#1,#6:2])=[OX1:3]	3	B
Cyano group	[C:0]#[N:1]-[H:2]	1	A
Cyano group	[C:0]#[NX1:1]	1	B
Hydroxyl group	[CX4:0](-[#6,#1:1])(-[#6,#1:2])(-[#6,#1:3])-[OH2+1:4]	4	A
Hydroxyl group	[CX4:0](-[#6,#1:1])(-[#6,#1:2])(-[#6,#1:3])-[OX2:4]-[H:5]	4	B
Selenol	[SeX2:0]-[H:1]	0	A
Selenol	[SeX1-1:0]	0	B
Borate	[BX3:0]-[OX2:1]-[H:2]	1	A
Borate	[BX3:0]-[O-1:1]	1	B
Bromomethane	[Br:0]-[CH3:1]-[H:2]	1	A
Bromomethane	[Br:0]-[CH2-1:1]	1	B
Cyclopentadiene	[#6X4:0](-[#1:5])1-,:[#6:1]=,:[#6:2]-,:[#6:3]=,:[#6:4]-,:1	0	A
Cyclopentadiene	[#6X3-1:0]1-,:[#6:1]=,:[#6:2]-,:[#6:3]=,:[#6:4]-,:1	0	B
Tin alkyl	[N+:0]-[CX4:1](-[H:3])-[SnX4:2]	1	A
Tin alkyl	[N+:0]-[CX3-1:1]-[SnX4:2]	1	B